Paket,No,Jawaban
G9-P01,1,"C,D"
G9-P01,2,"B,D"
G9-P01,3,"D,E"
G9-P01,4,"B,D"
G9-P01,5,"B,E"
G9-P01,6,"A,B"
G9-P01,7,"C,E"
G9-P01,8,"C,E"
G9-P01,9,"A,D"
G9-P01,10,"A,D"
G9-P01,11,"B,E"
G9-P01,12,"A,D"
G9-P01,13,"B,D"
G9-P01,14,"A,D"
G9-P01,15,"B,E"
G9-P01,16,"A,D"
G9-P01,17,"A,B"
G9-P01,18,"B,D"
G9-P01,19,"C,D"
G9-P01,20,"C,E"
G9-P01,21,"D,E"
G9-P01,22,"B,D"
G9-P01,23,"B,D"
G9-P01,24,"A,C"
G9-P01,25,"C,E"
G9-P01,26,"B,E"
G9-P01,27,"B,E"
G9-P01,28,"A,D"
G9-P01,29,"A,C"
G9-P01,30,"B,C"
G9-P02,1,"B,E"
G9-P02,2,"A,B"
G9-P02,3,"D,E"
G9-P02,4,"D,E"
G9-P02,5,"C,E"
G9-P02,6,"D,E"
G9-P02,7,"C,D"
G9-P02,8,"B,D"
G9-P02,9,"D,E"
G9-P02,10,"A,B"
G9-P02,11,"B,C"
G9-P02,12,"B,D"
G9-P02,13,"A,D"
G9-P02,14,"A,C"
G9-P02,15,"B,D"
G9-P02,16,"C,D"
G9-P02,17,"B,D"
G9-P02,18,"A,B"
G9-P02,19,"A,C"
G9-P02,20,"B,C"
G9-P02,21,"B,E"
G9-P02,22,"B,C"
G9-P02,23,"C,D"
G9-P02,24,"B,E"
G9-P02,25,"C,D"
G9-P02,26,"B,E"
G9-P02,27,"A,D"
G9-P02,28,"B,C"
G9-P02,29,"C,D"
G9-P02,30,"A,D"
G9-P03,1,"A,D"
G9-P03,2,"A,B"
G9-P03,3,"D,E"
G9-P03,4,"A,C"
G9-P03,5,"B,D"
G9-P03,6,"C,D"
G9-P03,7,"A,D"
G9-P03,8,"A,C"
G9-P03,9,"A,C"
G9-P03,10,"B,C"
G9-P03,11,"A,C"
G9-P03,12,"B,E"
G9-P03,13,"C,D"
G9-P03,14,"C,E"
G9-P03,15,"D,E"
G9-P03,16,"B,E"
G9-P03,17,"A,D"
G9-P03,18,"C,E"
G9-P03,19,"A,B"
G9-P03,20,"B,C"
G9-P03,21,"A,C"
G9-P03,22,"C,D"
G9-P03,23,"B,E"
G9-P03,24,"A,D"
G9-P03,25,"B,C"
G9-P03,26,"A,B"
G9-P03,27,"D,E"
G9-P03,28,"D,E"
G9-P03,29,"A,B"
G9-P03,30,"A,D"
G9-P04,1,"C,D"
G9-P04,2,"C,E"
G9-P04,3,"A,D"
G9-P04,4,"A,B"
G9-P04,5,"A,C"
G9-P04,6,"B,D"
G9-P04,7,"A,B"
G9-P04,8,"B,C"
G9-P04,9,"C,E"
G9-P04,10,"A,D"
G9-P04,11,"A,E"
G9-P04,12,"C,E"
G9-P04,13,"A,E"
G9-P04,14,"C,E"
G9-P04,15,"A,D"
G9-P04,16,"A,C"
G9-P04,17,"A,E"
G9-P04,18,"B,D"
G9-P04,19,"C,D"
G9-P04,20,"A,D"
G9-P04,21,"A,E"
G9-P04,22,"B,C"
G9-P04,23,"A,B"
G9-P04,24,"C,E"
G9-P04,25,"B,D"
G9-P04,26,"A,B"
G9-P04,27,"C,E"
G9-P04,28,"D,E"
G9-P04,29,"A,C"
G9-P04,30,"B,C"
G9-P05,1,"A,C"
G9-P05,2,"D,E"
G9-P05,3,"D,E"
G9-P05,4,"A,B"
G9-P05,5,"C,D"
G9-P05,6,"B,E"
G9-P05,7,"A,D"
G9-P05,8,"A,C"
G9-P05,9,"D,E"
G9-P05,10,"A,C"
G9-P05,11,"A,E"
G9-P05,12,"C,E"
G9-P05,13,"A,C"
G9-P05,14,"B,C"
G9-P05,15,"A,E"
G9-P05,16,"A,C"
G9-P05,17,"B,C"
G9-P05,18,"B,C"
G9-P05,19,"B,D"
G9-P05,20,"A,C"
G9-P05,21,"A,C"
G9-P05,22,"C,D"
G9-P05,23,"A,C"
G9-P05,24,"D,E"
G9-P05,25,"B,D"
G9-P05,26,"B,C"
G9-P05,27,"A,E"
G9-P05,28,"C,E"
G9-P05,29,"B,C"
G9-P05,30,"A,B"
G9-P06,1,"A,B"
G9-P06,2,"A,D"
G9-P06,3,"B,C"
G9-P06,4,"A,B"
G9-P06,5,"B,C"
G9-P06,6,"A,E"
G9-P06,7,"A,B"
G9-P06,8,"B,E"
G9-P06,9,"D,E"
G9-P06,10,"C,E"
G9-P06,11,"B,E"
G9-P06,12,"B,C"
G9-P06,13,"A,B"
G9-P06,14,"A,D"
G9-P06,15,"A,D"
G9-P06,16,"C,D"
G9-P06,17,"A,D"
G9-P06,18,"B,D"
